oid,candid,mjd,fid,pid,diffmaglim,isdiffpos,nid,ra,dec,magpsf,sigmapsf,magap,sigmagap,distnr,rb,rbversion,drb,drbversion,magapbig,sigmagapbig,rfid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,corrected,dubious,parent_candid,has_stamp,step_id_corr
ZTF17aaadosl,1058124091715015006,58812.12409720011,1,1058124091715,19.96626,1,1058,311.627402,4.3493675,17.705528,0.08581772,17.866,0.0558,0.47531217,0.95285714,t17_f5_c3,0.9941818,d6_m7,17.8587,0.0671,491120117,15.649827,100.0,0.01292101,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1076093621715010006,58830.093622699846,1,1076093621715,18.936205,-1,1076,311.6274337,4.3494684,17.79697,0.11602994,17.5746,0.0757,0.1573846,0.7214286,t17_f5_c3,0.988206,d6_m7,17.495,0.0895,491120117,16.0201,100.0,0.022585103,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1083070791715010004,58837.07079860009,2,1083070791715,18.604736,-1,1083,311.6274291,4.349463,17.357779,0.053727794,17.3602,0.0958,0.13788334,0.6,t17_f5_c3,0.99973387,d6_m7,17.2879,0.1147,491120217,15.827245,100.0,0.01312156,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1083117871715010035,58837.117870400194,1,1083117871715,19.239355,-1,1083,311.6273968,4.3494592,17.14805,0.041026298,17.0745,0.0376,0.15311152,0.55857146,t17_f5_c3,0.99361193,d6_m7,17.0519,0.0463,491120117,16.20837,100.0,0.017265953,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1187485641715010006,58941.4856480998,1,1187485641715,19.768703,-1,1187,311.6273634,4.3493888,16.836813,0.05210427,16.8454,0.0198,0.42795667,0.76714283,t17_f5_c3,0.9983119,d6_m7,16.8112,0.0233,491120117,16.37176,100.0,0.033950943,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1210454931715010004,58964.45493059978,2,1210454931715,20.363876,-1,1210,311.6273858,4.3495061,17.261189,0.10091874,17.2956,0.0289,0.088576764,0.8242857,t17_f5_c3,0.9991971,d6_m7,17.2822,0.0344,491120217,15.8522,0.013219033,0.027566168,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1210476401715010014,58964.47640050016,1,1210476401715,20.536558,-1,1210,311.6274292,4.3495196,17.033228,0.078651175,16.9394,0.0179,0.100571774,0.8857143,t17_f5_c3,0.999987,d6_m7,16.9132,0.0207,491120117,16.260576,0.010061215,0.038605113,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1213400671715015002,58967.40067130001,2,1213400671715,19.950947,1,1213,311.6274186,4.3494082,16.670256,0.08584238,16.7666,0.0242,0.27587566,0.8657143,t17_f5_c3,0.99949026,d6_m7,16.7356,0.0284,491120217,15.248404,0.018561345,0.023171853,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1213441381715015002,58967.441388899926,1,1213441381715,20.331198,1,1213,311.6273236,4.3494283,17.472015,0.16054103,17.7224,0.0428,0.39279145,0.60714287,t17_f5_c3,0.94990337,d6_m7,17.6946,0.0495,491120117,15.611294,0.02041284,0.02892659,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,1216421081715010003,58970.42108799983,2,1216421081715,20.26888,-1,1216,311.6274018,4.3494493,16.872175,0.06302174,16.8706,0.0196,0.1205631,0.9,t17_f5_c3,0.99999714,d6_m7,16.863,0.0235,491120217,15.988156,0.0052659,0.027917909,True,False,0,True,corr_bulk_0.0.1
