oid,flat_base,flat_abl,top_base,top_abl
ZTF18acjepyt,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acjesbi,Periodic-Other,CV/Nova,Periodic,Stochastic
ZTF18acjgvfa,LPV,YSO,Periodic,Stochastic
ZTF18acjjabp,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acjmmdb,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acjmvai,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acjqktz,Periodic-Other,CV/Nova,Periodic,Stochastic
ZTF18acjrnse,CV/Nova,CV/Nova,Periodic,Transient
ZTF18acjsytz,LPV,CV/Nova,Periodic,Periodic
ZTF18acjuotc,CV/Nova,CV/Nova,Periodic,Transient
ZTF18acjvdvx,Periodic-Other,Periodic-Other,Periodic,Periodic
ZTF18acjvnjl,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acjvrsh,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acjwgrx,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acjwmfa,EA,CV/Nova,Periodic,Stochastic
ZTF18acjwmpv,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acjwmve,YSO,CV/Nova,Periodic,Stochastic
ZTF18acjwsce,RSCVn,YSO,Periodic,Stochastic
ZTF18acjxkug,YSO,YSO,Stochastic,Stochastic
ZTF18acjypdm,CV/Nova,CV/Nova,Periodic,Transient
ZTF18acjythd,YSO,YSO,Periodic,Stochastic
ZTF18acjyvbj,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18ackbxpn,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18ackcdhj,YSO,CV/Nova,Periodic,Stochastic
ZTF18ackclqm,CV/Nova,CV/Nova,Periodic,Transient
ZTF18ackefds,CV/Nova,CV/Nova,Periodic,Periodic
ZTF18acketbs,CV/Nova,CV/Nova,Periodic,Periodic
ZTF18ackgzmr,CV/Nova,CV/Nova,Periodic,Transient
ZTF18ackhdfj,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18ackjacz,CV/Nova,CV/Nova,Periodic,Transient
ZTF18ackjgyb,CV/Nova,CV/Nova,Periodic,Transient
ZTF18ackkiir,EA,CV/Nova,Periodic,Transient
ZTF18ackkjql,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18ackrecu,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18ackrrqs,Periodic-Other,CV/Nova,Periodic,Transient
ZTF18ackwtwq,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18ackxdbh,EA,CV/Nova,Periodic,Periodic
ZTF18ackxdpu,CV/Nova,CV/Nova,Periodic,Transient
ZTF18ackyaxp,EA,YSO,Periodic,Periodic
ZTF18ackztni,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aclbgvp,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aclcdnu,RSCVn,YSO,Periodic,Stochastic
ZTF18aclcptp,YSO,YSO,Periodic,Stochastic
ZTF18acleqag,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aclknpq,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acloomh,DSCT,CV/Nova,Periodic,Periodic
ZTF18aclplhe,Periodic-Other,CV/Nova,Periodic,Transient
ZTF18aclqthh,EB/EW,EB/EW,Periodic,Periodic
ZTF18aclveeo,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acmafzq,CV/Nova,CV/Nova,Periodic,Transient
ZTF18acmelqy,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acmfbfb,LPV,CV/Nova,Periodic,Stochastic
ZTF18acmfcsg,YSO,CV/Nova,Periodic,Stochastic
ZTF18acmgdhl,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acmglmi,EB/EW,EB/EW,Periodic,Periodic
ZTF18acmhfvz,CEP,CV/Nova,Periodic,Transient
ZTF18acmhstp,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acmidrs,YSO,YSO,Stochastic,Stochastic
ZTF18acmkbfk,CV/Nova,CV/Nova,Periodic,Transient
ZTF18acmmmex,CV/Nova,CV/Nova,Periodic,Transient
ZTF18acmovax,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF18acmpuyg,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acmtmvn,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acmtvrh,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acmtzai,RSCVn,YSO,Periodic,Stochastic
ZTF18acmvtwi,CV/Nova,CV/Nova,Periodic,Transient
ZTF18acmxmke,YSO,YSO,Stochastic,Stochastic
