feature,feature_id,band,band_label,pct_missing_2-4,pct_missing_5-9,pct_missing_10-19,pct_missing_20-49,pct_missing_50-99,pct_missing_100+
Mean,65,1,g,100.0,98.83,82.6,41.27,19.56,6.9
Mean,65,2,r,100.0,98.13,80.85,49.31,21.24,6.07
Meanvariance,66,1,g,100.0,98.83,82.6,41.27,19.56,6.9
Meanvariance,66,2,r,100.0,98.13,80.85,49.31,21.24,6.07
MedianAbsDev,67,1,g,100.0,98.83,82.6,41.27,19.56,6.9
MedianAbsDev,67,2,r,100.0,98.13,80.85,49.31,21.24,6.07
MedianBRP,68,1,g,100.0,98.83,82.6,41.27,19.56,6.9
MedianBRP,68,2,r,100.0,98.13,80.85,49.31,21.24,6.07
Multiband_period,30,12,gr,93.68,73.09,47.86,21.31,5.5,0.83
PPE,31,12,gr,93.68,73.09,47.86,21.31,5.5,0.83
PairSlopeTrend,69,1,g,100.0,98.83,82.6,41.27,19.56,6.9
PairSlopeTrend,69,2,r,100.0,98.13,80.85,49.31,21.24,6.07
PercentAmplitude,70,1,g,100.0,98.83,82.6,41.27,19.56,6.9
PercentAmplitude,70,2,r,100.0,98.13,80.85,49.31,21.24,6.07
Period_band,32,1,g,94.91,77.47,54.88,29.43,12.76,3.62
Period_band,32,2,r,95.27,78.76,56.6,35.61,15.2,5.52
Power_rate_1/2,36,12,gr,93.68,73.09,47.86,21.31,5.5,0.83
Power_rate_1/3,35,12,gr,93.68,73.09,47.86,21.31,5.5,0.83
Power_rate_1/4,34,12,gr,93.68,73.09,47.86,21.31,5.5,0.83
Power_rate_2,37,12,gr,93.68,73.09,47.86,21.31,5.5,0.83
Power_rate_3,38,12,gr,93.68,73.09,47.86,21.31,5.5,0.83
Power_rate_4,39,12,gr,93.68,73.09,47.86,21.31,5.5,0.83
Psi_CS,40,1,g,99.61,92.6,71.26,39.5,16.2,6.11
Psi_CS,40,2,r,99.68,94.83,75.27,45.03,16.96,5.04
Psi_eta,41,1,g,99.61,92.6,71.26,39.5,16.2,6.11
Psi_eta,41,2,r,99.68,94.83,75.27,45.03,16.96,5.04
Pvar,77,1,g,100.0,98.83,82.6,41.27,19.56,6.9
Pvar,77,2,r,100.0,98.13,80.85,49.31,21.24,6.07
Q31,71,1,g,100.0,98.83,82.6,41.27,19.56,6.9
Q31,71,2,r,100.0,98.13,80.85,49.31,21.24,6.07
Rcs,72,1,g,100.0,98.83,82.6,41.27,19.56,6.9
